Year,Punitive,Administrative,Military,Undefined,Total,Construction 'starts'
1967,,,"2,187","5,367","7,554",
1968,,,,,,
1969,,,,,,
1970,,,,191,191,
1971,,,"2,000",231,"2,231",
1972,,,,35,35,
1973,,,100,34,134,350
1974,,,,61,61,520
1975,,,,77,77,"1,240"
1976,,,,24,24,"1,260"
1977,,,,1,1,860
1978,,,,2,2,"1,210"
1979,,,,18,18,620
1980,,,,30,30,"1,790"
1981,,,,24,24,"2,430"
1982,,,,35,35,"3,020"
1983,12,,,,12,"1,660"
1984,2,,,,2,"2,620"
1985,44,,,,44,"1,660"
1986,49,,,,49,520
1987,1,103,,,104,"1,270"
1988,164,423,,,587,"1,580"
1989,220,347,,,567,"1,470"
1990,204,102,,,306,"1,870"
1991,80,227,,,307,"7,750"
1992,33,160,,,193,"6,180"
1993,19,111,,,130,"2,240"
1994,4,149,,,153,"1,320"
1995,1,68,,,69,"2,854"
1996,11,157,,,168,"1,982"
1997,8,249,,,257,"2,564"
1998,,180,,,180,"4,337"
1999,,142,,,142,"3,491"
2000,,59,,,59,"4,958"
2001,10,227,,,237,"1,701"
2002,251,319,"3,418",,"3,988","1,567"
2003,227,405,,,632,"2,069"
2004,177,291,,,468,"1,944"
2005,4,211,75,,290,"2,028"
2006,,146,256,,402,"1,518"
2007,,286,73,,359,"1,471"
2008,,291,79,,370,"2,332"
2009,1,275,"4,247",,"4,523","1,963"
2010,,439,,,439,741
2011,,622,,,622,"1,107"
2012,,604,450,,604,"1,213"
2013,,663,,,663,"2,869"
2014,4,515,"18,000",,"18,519","1,571"
2015,,531,,,531,"1,922"
2016,,"1,094",,,"1,094","3,066"
2017,,419,,,419,"1,643"
2018,,461,,,461,
