,Year,Month,Prison Facility,Total,Serving Sentence,Detainees,Illegal Combatants,Legal Proceedings,Admin Detainees
1,2023,Sept.,IPS,4764,2222,115,,1117,1310
2,2023,Sept.,IDF,,,,,,
3,2023,August,IPS,4641,2179,123,,1095,1244
4,2023,August,IDF,,,,,,
5,2023,July,IPS,4563,2167,78,,1128,1190
6,2023,July,IDF,,,,,,
7,2023,June,IPS,4499,2139,85,,1158,1117
8,2023,June,IDF,412,0,347,,0,65
9,2023,May,IPS,4445,2153,84,,1144,1064
10,2023,May,IDF,375,0,330,,0,45
11,2023,April,IPS,4391,2162,115,,1117,997
12,2023,April,IDF,222,0,205,,0,17
13,2023,March,IPS,4407,2252,106,,1047,1002
14,2023,March,IDF,392,0,338,,0,54
15,2023,Feb.,IPS,4355,2244,98,,1068,945
16,2023,Feb.,IDF,370,0,321,,0,49
17,2023,Jan.,IPS,4336,2237,127,,1066,906
18,2023,Jan.,IDF,416,0,366,,0,50
20,2023,Sept.,IPS,932,534,398,,,
21,2023,Sept.,IDF,,,,,,
22,2023,August,IPS,930,524,406,,,
23,2023,August,IDF,,,,,,
24,2023,July,IPS,877,563,314,,,
25,2023,July,IDF,,,,,,
26,2023,June,IPS,850,483,367,,,
27,2023,June,IDF,249,0,249,,,
28,2023,May,IPS,867,498,369,,,
29,2023,May,IDF,192,0,192,,,
30,2023,April,IPS,832,422,410,,,
31,2023,April,IDF,90,0,90,,,
32,2023,March,IPS,839,433,406,,,
33,2023,March,IDF,221,0,221,,,
34,2023,Feb.,IPS,860,413,447,,,
35,2023,Feb.,IDF,204,0,204,,,
36,2023,Jan.,IPS,794,373,421,,,
37,2023,Jan.,IDF,242,0,242,,,
39,2022,Dec.,IPS,,,,,,
40,2022,Dec.,IDF,,,,,,
41,2022,Nov.,IPS,,,,,,
42,2022,Nov.,IDF,,,,,,
43,2022,Oct.,IPS,,,,,,
44,2022,Oct.,IDF,,,,,,
45,2022,Sept.,IPS,4241,2262,105,0,1090,784
46,2022,Sept.,IDF,,,,,,
47,2022,August,IPS,4149,2274,96,0,1053,726
48,2022,August,IDF,,,,,,
49,2022,July,IPS,4100,2295,120,0,1025,660
50,2022,July,IDF,,,,,,
51,2022,June,IPS,4112,2334,135,0,1011,632
52,2022,June,IDF,,,,,,
53,2022,May,IPS,4154,2314,197,0,1029,614
54,2022,May,IDF,,,,,,
55,2022,April,IPS,4173,2335,245,0,1005,588
56,2022,April,IDF,,,,,,
57,2022,March,IPS,3983,2381,169,0,926,507
58,2022,March,IDF,193,0,158,0,0,35
59,2022,Feb.,IPS,3949,2388,142,0,950,469
60,2022,Feb.,IDF,144,0,140,0,0,4
61,2022,Jan.,IPS,4001,2394,144,0,978,485
62,2022,Jan.,IDF,185,0,170,0,0,15
64,2022,Dec.,IPS,,,,,,
65,2022,Dec.,IDF,,,,,,
66,2022,Nov.,IPS,,,,,,
67,2022,Nov.,IDF,,,,,,
68,2022,Oct.,IPS,,,,,,
69,2022,Oct.,IDF,,,,,,
70,2022,Sept.,IPS,647,336,311,,,
71,2022,Sept.,IDF,,,,,,
72,2022,August,IPS,675,347,328,,,
73,2022,August,IDF,,,,,,
74,2022,July,IPS,675,379,296,,,
75,2022,July,IDF,,,,,,
76,2022,June,IPS,678,376,302,,,
77,2022,June,IDF,,,,,,
78,2022,May,IPS,729,384,345,,,
79,2022,May,IDF,,,,,,
80,2022,April,IPS,737,374,363,,,
81,2022,April,IDF,,,,,,
82,2022,March,IPS,702,349,353,,,
83,2022,March,IDF,1,0,1,,,
84,2022,Feb.,IPS,658,345,313,,,
85,2022,Feb.,IDF,7,0,7,,,
86,2022,Jan.,IPS,624,363,261,,,
87,2022,Jan.,IDF,6,0,6,,,
89,2021,Dec.,IPS,4018,2413,103,0,1007,495
90,2021,Dec.,IDF,159,0,139,0,0,20
91,2021,Nov.,IPS,4087,2412,121,0,1063,491
92,2021,Nov.,IDF,162,0,139,0,0,23
93,2021,Oct.,IPS,4093,2399,100,0,1115,479
94,2021,Oct.,IDF,147,0,141,0,0,6
95,2021,Sept.,IPS,,,,,,
96,2021,Sept.,IDF,112,0,97,0,0,15
97,2021,August,IPS,,,,,,
98,2021,August,IDF,135,0,131,0,0,4
99,2021,July,IPS,,,,,,
100,2021,July,IDF,158,0,145,0,0,13
101,2021,June,IPS,,,,,,
102,2021,June,IDF,191,0,165,0,0,26
103,2021,May,IPS,,,,,,
104,2021,May,IDF,229,0,172,0,0,57
105,2021,April,IPS,,,,,,
106,2021,April,IDF,114,0,105,0,0,9
107,2021,March,IPS,,,,,,
108,2021,March,IDF,150,0,140,0,0,10
