,count,category,timestamp
0,18787.0,Total Martyrs in Gaza strip,16/12/2023 12:50:57
1,8000.0,Kids (Gaza Strip),16/12/2023 12:50:57
2,6200.0,Woman (Gaza Strip),16/12/2023 12:50:57
3,287.0,Total Martyrs in West Bank,16/12/2023 12:50:57
4,682.0,Elderly (Gaza Strip),16/12/2023 12:50:57
5,300.0,Medical staff martyrs,16/12/2023 12:50:57
6,86.0,Press Martyrs,16/12/2023 12:50:57
7,209.0,Educational staff martyrs,16/12/2023 12:50:57
8,73.0,Kids Martyrs in West Bank,16/12/2023 12:50:57
9,135.0,UN staff martyrs,16/12/2023 12:50:57
10,32.0,Civil Defence,16/12/2023 12:50:57
11,7780.0,Missing,16/12/2023 12:50:57
12,4700.0,Missing Kids & Woman,16/12/2023 12:50:57
13,50897.0,Total injured in Gaza strip,16/12/2023 12:51:05
14,3488.0,Total injured in West Bank,16/12/2023 12:51:05
15,6168.0,Total kids injured in Gaza strip,16/12/2023 12:51:05
16,541.0,Total kids injured in West Bank,16/12/2023 12:51:05
17,12530.0,Total Displaced male,16/12/2023 12:51:14
18,125000.0,Total Displaced female,16/12/2023 12:51:14
19,170080.0,Total Displaced kids,16/12/2023 12:51:14
20,254000.0,Partially Damaged housing units,16/12/2023 12:51:26
21,22.0,Hospitals out of service,16/12/2023 12:51:26
23,52500.0,Destroyed housing units,16/12/2023 12:51:26
24,25.0,Hospitals damaged due to missile strike,16/12/2023 12:51:26
25,3.0,Churches destroyed,16/12/2023 12:51:26
26,110.0,Mosques destroyed,16/12/2023 12:51:26
27,126.0,Government headquarters destroyed,16/12/2023 12:51:26
28,75.0,Schools destroyed,16/12/2023 12:51:26
29,277.0,Partially destroyed schools,16/12/2023 12:51:26
30,59.0,Destroyed Ambulances,16/12/2023 12:51:26
31,1590.0,West Bank total prisoners,16/12/2023 12:51:48
